ID,City,lat,lon,Date,Temp Morning,Temp Day,Temp Evening,Temp Night,Temp Min,Temp Max,Feels Like Morning,Feels Like Day,Feels Like Evening,Feels Like Night,Humidity,Weather,Description,Wind Speed,Precipitation Probability,Precipitation Volume,Weather Score
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-22 12:00:00,4.08,11.21,8.49,7.26,2.84,11.48,1.02,9.82,5.46,5.23,55,Rain,light rain,7.06,0.2,0.1,10.47
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-23 12:00:00,5.95,9.13,9.3,5.71,4.14,9.9,5.95,6.42,7.05,3.66,77,Rain,light rain,5.64,0.2,0.15,8.885
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-24 12:00:00,5.5,11.28,8.47,5.12,4.11,11.46,4.72,10.32,6.1,3.05,71,Clouds,overcast clouds,6.49,0.0,0.0,11.46
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-25 12:00:00,3.52,11.63,10.03,7.39,2.39,11.91,1.79,10.34,9.31,5.48,57,Rain,light rain,4.09,0.78,0.58,7.952
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-26 12:00:00,6.15,12.5,11.58,10.45,6.02,12.5,2.58,11.66,10.73,9.56,71,Rain,light rain,7.55,0.36,0.38,10.661999999999999
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-27 12:00:00,8.04,11.68,10.93,8.38,8.04,12.42,5.88,11.04,10.22,4.6,82,Rain,moderate rain,10.09,1.0,17.05,5.715
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-28 12:00:00,7.69,11.82,10.99,7.81,7.69,13.41,4.28,11.02,10.26,5.74,75,Rain,light rain,7.8,1.0,3.51,8.059000000000001
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-04-29 12:00:00,7.71,13.55,12.99,9.51,6.85,13.64,5.34,12.66,12.25,7.49,65,Rain,light rain,4.0,0.2,0.21,12.619
2,St Malo,48.649518,-2.0260409,2024-04-22 12:00:00,7.27,10.49,7.9,7.36,6.75,10.68,3.84,9.14,4.44,4.7,59,Rain,light rain,7.38,0.23,0.11,9.519
2,St Malo,48.649518,-2.0260409,2024-04-23 12:00:00,6.94,9.56,9.57,8.94,6.75,10.1,6.28,7.7,6.56,6.84,70,Rain,light rain,7.43,0.84,0.5,5.85
2,St Malo,48.649518,-2.0260409,2024-04-24 12:00:00,7.98,11.19,9.66,7.18,7.18,11.19,7.5,10.11,7.33,5.3,67,Clouds,broken clouds,6.84,0.0,0.0,11.19
2,St Malo,48.649518,-2.0260409,2024-04-25 12:00:00,5.02,11.54,10.17,8.41,4.4,11.54,2.35,10.32,9.31,6.34,60,Rain,light rain,6.04,0.93,0.3,6.8599999999999985
2,St Malo,48.649518,-2.0260409,2024-04-26 12:00:00,7.63,10.22,11.6,10.22,7.03,12.86,4.17,9.57,10.83,9.54,87,Rain,light rain,8.1,1.0,2.49,7.611
2,St Malo,48.649518,-2.0260409,2024-04-27 12:00:00,8.35,7.99,10.64,8.92,7.99,11.71,6.03,3.57,9.85,4.72,87,Rain,moderate rain,10.3,1.0,17.17,4.993
2,St Malo,48.649518,-2.0260409,2024-04-28 12:00:00,7.81,13.52,10.87,8.77,7.81,13.52,3.95,12.47,10.1,5.89,59,Rain,light rain,9.79,1.0,2.58,8.262
2,St Malo,48.649518,-2.0260409,2024-04-29 12:00:00,8.27,12.92,12.91,10.17,7.67,12.92,5.41,11.99,12.19,9.54,66,Clouds,few clouds,5.9,0.0,0.0,12.92
3,Bayeux,49.2764624,-0.7024738,2024-04-22 12:00:00,6.59,9.81,7.58,6.95,5.92,9.81,3.01,7.11,5.02,4.88,63,Rain,light rain,7.16,1.0,0.7,4.74
3,Bayeux,49.2764624,-0.7024738,2024-04-23 12:00:00,5.69,8.75,8.06,5.43,5.1,9.01,5.69,6.64,5.58,2.82,69,Rain,light rain,4.3,0.2,0.25,7.984999999999999
3,Bayeux,49.2764624,-0.7024738,2024-04-24 12:00:00,6.54,6.5,7.36,3.94,3.94,8.79,5.57,6.5,6.31,3.94,90,Rain,light rain,4.55,0.97,2.1,3.7299999999999995
3,Bayeux,49.2764624,-0.7024738,2024-04-25 12:00:00,4.69,11.04,9.95,6.75,2.84,12.11,2.02,9.82,7.84,4.13,62,Rain,light rain,5.52,0.2,0.11,11.099
3,Bayeux,49.2764624,-0.7024738,2024-04-26 12:00:00,6.51,12.56,11.46,9.22,6.51,12.85,3.4,11.62,10.65,7.23,67,Rain,light rain,6.77,0.32,0.26,11.224
3,Bayeux,49.2764624,-0.7024738,2024-04-27 12:00:00,9.4,14.64,11.34,8.67,8.67,14.64,5.77,13.78,10.57,4.83,62,Rain,moderate rain,8.47,1.0,5.89,9.051
3,Bayeux,49.2764624,-0.7024738,2024-04-28 12:00:00,8.86,13.67,10.51,6.7,6.7,13.67,5.5,12.71,9.84,4.13,62,Rain,light rain,9.42,1.0,1.53,8.517
